*������� ���������� 	AM1[1]
0	-3,18275881396164E-39
0,01	1,17904242602669E-13
0,02	2,70104084879079E-13
0,03	4,66787975383101E-13
0,04	7,21194206258985E-13
0,05	1,05052501967416E-12
0,06	1,47715081836662E-12
0,07	2,0301886026661E-12
0,08	2,74754781109902E-12
0,09	3,67865066649689E-12
0,1	4,88797192998211E-12
0,11	6,45971647616398E-12
0,12	8,50400797439093E-12
0,13	1,11650379018554E-11
0,14	1,46319011658922E-11
0,15	1,91529949882678E-11
0,16	2,50552198223926E-11
0,17	3,27696767091633E-11
0,18	4,2866154154472E-11
0,19	5,6099605731423E-11
0,2	7,3472998103714E-11
0,21	9,63226793283779E-11
0,22	1,26434746700256E-10
0,23	1,66204415524457E-10
0,24	2,1885515706253E-10
0,25	2,88741450202749E-10
0,26	3,81768693158967E-10
0,27	5,05978376575822E-10
0,28	6,72366975449255E-10
0,29	8,96036457385327E-10
0,3	1,19781779660995E-9
0,31	1,60657024989684E-9
0,32	2,16245031040803E-9
0,33	2,92157509833001E-9
0,34	3,96269724320924E-9
0,35	5,39678817881088E-9
0,36	7,3808361874961E-9
0,37	1,01377650945338E-8
0,38	1,39852577839931E-8
0,39	1,93775571088432E-8
0,4	2,69662073160433E-8
0,41	3,76884769633471E-8
0,42	5,28962854279806E-8
0,43	7,45444559159987E-8
0,44	1,05465942691876E-7
0,45	1,49774659518282E-7
0,46	2,13455624866045E-7
0,47	3,05230202142616E-7
0,48	4,37825438711336E-7
0,49	6,29836994912318E-7
0,5	9,08463720776207E-7
0,51	1,31352121399756E-6
0,52	1,90332947916127E-6
0,53	2,76334059037489E-6
0,54	4,01875833562857E-6
0,55	5,85294271733681E-6
0,56	8,53412909642437E-6
0,57	1,24539500602223E-5
0,58	1,81823937108516E-5
0,59	2,65449762393634E-5
0,6	3,87285196181289E-5
0,61	5,64208209241682E-5
0,62	8,19844264103146E-5
0,63	0,000118652175910833
0,64	0,000170708425400012
0,65	0,000243585029874288
0,66	0,000343767718885899
0,67	0,00047840870732411
0,68	0,000654616049419169
0,69	0,00087854217710347
0,7	0,00115454074403745
0,71	0,00148467566210732
0,72	0,00186871226514453
0,73	0,00230451005085225
0,74	0,0027886140464276
0,75	0,00331684895063547
0,760000000000001	0,00388479942971719
0,770000000000001	0,00448814104761847
0,780000000000001	0,00512283642696942
0,790000000000001	0,00578523047818979
0,800000000000001	0,00647207906362834
0,810000000000001	0,00718053834123292
0,820000000000001	0,00790813366233162
0,830000000000001	0,00865271992831982
0,840000000000001	0,00941244033017746
0,850000000000001	0,0101856871488312
0,860000000000001	0,0109710663170224
0,870000000000001	0,0117673663089837
0,880000000000001	0,0125735313160025
0,890000000000001	0,0133886383705469
0,900000000000001	0,0142118779640153
0,910000000000001	0,0150425376814701
0,920000000000001	0,0158799884030137
0,930000000000001	0,0167236726686863
0,940000000000001	0,0175730948572058
0,950000000000001	0,0184278117497091
0,960000000000001	0,0192874301722708
0,970000000000001	0,0201515937338499
0,980000000000001	0,0210199827772971
0,990000000000001	0,0218923087048867
1	0,022768310243523
